| %    | Decomp?  | Name                                | # of insns | Asm Path 
| 1.00 | true     | func_800ABB50                       | 8          | asm/us/main/matchings/shots/shot_53/func_800ABB50.s 
| 1.00 | true     | func_800AC6E8                       | 8          | asm/us/main/matchings/shots/shot_54/func_800AC6E8.s 
| 1.00 | true     | func_800AC7CC                       | 8          | asm/us/main/matchings/shots/shot_54/func_800AC7CC.s 
| 1.00 | true     | func_800ADED4                       | 8          | asm/us/main/matchings/shots/shot_55/func_800ADED4.s 
| 1.00 | true     | func_800AE2FC                       | 8          | asm/us/main/matchings/shots/shot_56/func_800AE2FC.s 
| 1.00 | true     | func_800AE3D4                       | 8          | asm/us/main/matchings/shots/shot_56/func_800AE3D4.s 
| 1.00 | true     | func_800AE63C                       | 8          | asm/us/main/matchings/shots/shot_57/func_800AE63C.s 
| 1.00 | true     | func_800AF808                       | 8          | asm/us/main/matchings/visuals/visual_03/func_800AF808.s 
| 1.00 | true     | func_800B0C78                       | 8          | asm/us/main/matchings/visuals/visual_08/func_800B0C78.s 
| 1.00 | true     | func_800B17AC                       | 8          | asm/us/main/matchings/visuals/visual_10/func_800B17AC.s 
| 1.00 | true     | func_800B199C                       | 8          | asm/us/main/matchings/visuals/visual_11/func_800B199C.s 
| 1.00 | true     | func_800B1AD8                       | 8          | asm/us/main/matchings/visuals/visual_12/func_800B1AD8.s 
| 1.00 | true     | func_800B1C3C                       | 8          | asm/us/main/matchings/visuals/visual_13/func_800B1C3C.s 
| 1.00 | true     | func_800B1D4C                       | 8          | asm/us/main/matchings/visuals/visual_14/func_800B1D4C.s 
| 1.00 | true     | func_800B1E84                       | 8          | asm/us/main/matchings/visuals/visual_15/func_800B1E84.s 
| 1.00 | true     | func_800B2070                       | 8          | asm/us/main/matchings/visuals/visual_16/func_800B2070.s 
| 1.00 | true     | func_800B3000                       | 8          | asm/us/main/matchings/visuals/visual_21/func_800B3000.s 
| 1.00 | true     | func_800B320C                       | 8          | asm/us/main/matchings/visuals/visual_22/func_800B320C.s 
